1,ES,2165
2,AR,2113
3,FR,2082
4,EN,2020
5,BR,1984
5,PT,1984
7,CO,1975
8,NL,1961
9,EC,1933
10,HR,1930
11,DE,1923
12,NO,1912
13,JP,1904
14,TR,1902
15,UY,1892
16,CH,1889
17,SN,1879
18,DK,1870
19,BE,1866
20,MX,1858
21,IT,1856
22,PY,1833
23,AT,1827
24,MA,1821
25,CA,1784
26,AU,1783
27,RU,1776
28,RS,1769
29,SQ,1767
29,UA,1767
31,IR,1760
32,KR,1752
32,NG,1752
32,GR,1752
35,DZ,1743
36,PA,1737
37,PL,1729
38,UZ,1727
38,VE,1727
40,CZ,1726
41,US,1721
41,KO,1721
43,SE,1719
44,CL,1710
45,HU,1703
46,WA,1698
47,PE,1695
48,SI,1694
49,IE,1691
50,JO,1690
51,EG,1689
52,CI,1676
53,SK,1673
54,CD,1655
55,GE,1653
56,AL,1646
57,BO,1645
58,TN,1636
59,IL,1634
60,RO,1627
61,CM,1614
62,CR,1613
63,IQ,1607
64,EI,1601
65,ML,1596
66,BA,1594
67,NM,1589
68,NZ,1585
69,HN,1571
69,IS,1571
71,SA,1568
72,CV,1549
73,AO,1543
74,FI,1542
75,AE,1540
76,JM,1535
77,HT,1532
78,BF,1530
79,ZA,1524
80,GT,1515
81,BY,1513
82,GH,1505
83,SY,1491
83,OM,1491
85,BG,1475
86,GN,1469
86,PS,1469
88,NS,1457
89,ME,1439
90,CW,1436
90,LU,1436
92,SR,1431
93,KZ,1430
94,BJ,1429
95,QA,1425
96,KD,1424
97,CN,1423
97,GM,1423
99,LY,1420
100,BH,1418
101,GA,1401
102,UG,1394
103,NE,1393
104,TT,1392
105,GQ,1390
106,MG,1382
106,FO,1382
108,AM,1379
109,TH,1376
110,KP,1375
111,MZ,1372
112,ZW,1371
113,ZM,1370
114,KM,1362
115,TG,1358
116,KE,1356
117,VN,1351
118,SD,1350
119,SL,1348
120,RE,1345
121,SV,1341
122,AZ,1340
123,EE,1339
124,GP,1338
125,RW,1336
126,LB,1333
127,ID,1331
128,KW,1328
129,NI,1327
130,ZN,1321
131,TZ,1313
132,MQ,1311
132,MR,1311
134,NA,1303
135,LV,1301
135,CY,1301
137,LR,1296
138,MY,1293
139,GY,1292
140,LT,1291
140,KG,1291
142,BI,1286
142,NC,1286
144,TJ,1285
144,ET,1285
146,DO,1284
147,BW,1267
148,MD,1262
149,GW,1248
150,MW,1241
151,CU,1239
152,CF,1237
152,MT,1237
154,GF,1223
155,YT,1216
156,TM,1209
157,CG,1207
158,LS,1205
159,ER,1201
160,TI,1176
161,PH,1167
162,YE,1151
163,SW,1149
164,VC,1141
165,IN,1138
166,SG,1137
166,PR,1137
168,PG,1135
169,HK,1120
170,BM,1118
171,VU,1114
172,SS,1109
173,FJ,1108
174,GD,1099
175,AD,1077
176,MU,1073
176,TD,1073
176,BZ,1073
179,SB,1054
180,MF,1042
181,ST,1035
182,KN,1029
183,AF,1010
184,JS,1005
185,LC,1003
186,GI,1002
187,EH,996
188,MM,982
189,AW,979
189,SO,979
191,SX,975
192,MS,971
193,GL,946
194,DJ,940
195,DM,934
196,BD,932
197,LI,904
198,MC,903
199,BB,898
200,AG,894
201,NP,893
202,SC,853
203,MV,848
204,KH,844
205,BQ,837
206,SM,836
207,LK,827
208,TW,821
209,PK,812
210,KY,805
211,HG,782
212,TV,756
213,EU,737
214,LA,734
215,MN,730
216,WS,728
217,VG,727
218,BL,725
219,GU,719
220,WF,699
221,VA,692
222,AB,691
223,BS,685
224,PM,677
225,TL,673
226,TC,657
227,AI,646
228,BT,637
229,BN,633
230,TE,629
231,VI,627
232,CK,622
233,MO,589
234,CX,578
235,FK,571
236,FM,563
237,MH,559
238,KI,544
239,TO,520
240,NU,496
241,MP,432
242,CC,422
243,PW,402
244,AS,369
